query_id,concept_id,category,exact_or_near_exact_targets,close_substitute_targets,style_match_targets,hard_negative_targets,status
A001,action_figure_calibration,collectible_figure,4,0,0,0,pending_gso_download
A002,action_figure_calibration,collectible_figure,4,0,0,0,pending_gso_download
A003,action_figure_calibration,collectible_figure,4,0,0,0,pending_gso_download
A004,stuffed_toy_calibration,plush_toy,4,0,0,0,pending_gso_download
A005,stuffed_toy_calibration,plush_toy,4,0,0,0,pending_gso_download
A006,stuffed_toy_calibration,plush_toy,4,0,0,0,pending_gso_download
A007,backpack_calibration,backpack,4,0,0,0,pending_gso_download
A008,backpack_calibration,backpack,4,0,0,0,pending_gso_download
A009,backpack_calibration,backpack,4,0,0,0,pending_gso_download
A010,gaming_mouse_calibration,mouse,4,0,0,0,pending_gso_download
A011,gaming_mouse_calibration,mouse,4,0,0,0,pending_gso_download
A012,gaming_mouse_calibration,mouse,4,0,0,0,pending_gso_download
A013,mug_calibration,drinkware,4,0,0,0,pending_gso_download
A014,mug_calibration,drinkware,4,0,0,0,pending_gso_download
A015,mug_calibration,drinkware,4,0,0,0,pending_gso_download
A016,personal_care_tool_calibration,beauty_tool,4,0,0,0,pending_gso_download
A017,personal_care_tool_calibration,beauty_tool,4,0,0,0,pending_gso_download
A018,personal_care_tool_calibration,beauty_tool,4,0,0,0,pending_gso_download
A019,lighting_object_calibration,lamp,4,0,0,0,pending_gso_download
A020,lighting_object_calibration,lamp,4,0,0,0,pending_gso_download
A021,lighting_object_calibration,lamp,4,0,0,0,pending_gso_download
A022,gaming_headset_calibration,headphones,4,0,0,0,pending_gso_download
A023,gaming_headset_calibration,headphones,4,0,0,0,pending_gso_download
A024,gaming_headset_calibration,headphones,4,0,0,0,pending_gso_download
A025,athletic_shoe_calibration,sneakers,4,0,0,0,pending_gso_download
A026,athletic_shoe_calibration,sneakers,4,0,0,0,pending_gso_download
A027,athletic_shoe_calibration,sneakers,4,0,0,0,pending_gso_download
A028,storage_basket_calibration,storage_box,4,0,0,0,pending_gso_download
A029,storage_basket_calibration,storage_box,4,0,0,0,pending_gso_download
A030,storage_basket_calibration,storage_box,4,0,0,0,pending_gso_download
