capture_id,received_on,source_id,market,related_concept_id,query,query_role,surface,displayed_start,displayed_end,displayed_granularity,query_geo,device_scope,raw_file_name,mapping_status,exclusion_reason,notes,raw_file_sha256,width_px,height_px,image_format,capture_time_status,machine_readable_points,history_eligible,claim_eligible,storage_policy
baidu-cap-001,2026-09-17,baidu_index_screenshot,CN,BT-C001,盲盒,broad_proxy,search_index,2021-08-20,2026-09-13,week_visible,CN_national,PC+mobile,cc64e586-64b6-446e-8682-f03a64192505.png,mapped_proxy,Generic query differs from registered primary query and screenshot lacks machine-readable points,UI legend and URL show 盲盒 while the search box appears stale,27dcc0af37c5b5f9ca0cee37c72a4938ee2e0e1040d584b3302274ccc01e6828,2048,1206,PNG,unknown_exact_time,false,false,false,private_raw_not_git
baidu-cap-002,2026-09-17,baidu_index_screenshot,CN,BT-C001,盲盒,broad_proxy,information_index,2026-08-15,2026-09-13,day_visible,CN_national,not_shown,8d231d96-759d-4b25-be9a-44f2cb864db1.png,mapped_proxy,Information index is not the registered search-interest series and screenshot lacks machine-readable points,Visible summary reports daily average 3581519,af8580199ee27cc7f3499b9427c86a87d58a51e9d9d484906f4f727fc7b9fd15,2048,1206,PNG,unknown_exact_time,false,false,false,private_raw_not_git
baidu-cap-003,2026-09-17,baidu_index_screenshot,CN,BT-C001,labubu,brand_proxy,search_index,2026-08-15,2026-09-13,day_visible,CN_national,PC+mobile,d92eca2d-1406-4ba3-b2cb-fc6460382565.png,mapped_proxy,Brand query risks brand leakage and screenshot lacks machine-readable points,Visible tooltip reports 432 on 2026-08-26,8dd45732fd79971e273f1655717beb27be5130735773b4b4ae8031054adeb749,2048,1206,PNG,unknown_exact_time,false,false,false,private_raw_not_git
baidu-cap-004,2026-09-17,baidu_index_screenshot,CN,BT-C001,labubu,brand_proxy,search_index,2021-08-12,2026-09-13,week_visible,CN_national,PC+mobile,28da304b-e154-4164-bb1c-c77c9cb552ef.png,mapped_proxy,Brand query risks brand leakage and screenshot lacks machine-readable points,Large visible spike occurs around July 2025,04e8c9ab18ccb60f33eb755cb34003be04479c6a55613b5b1d1418b22d121740,2048,1206,PNG,unknown_exact_time,false,false,false,private_raw_not_git
baidu-cap-005,2026-09-17,baidu_index_screenshot,CN,BT-C001,labubu,brand_proxy,information_index,2026-08-15,2026-09-13,day_visible,CN_national,not_shown,9446b997-be00-4cba-afc2-43c53eebe47d.png,mapped_proxy,Brand information index is not the registered search-interest series,Visible tooltip reports 35467 on 2026-08-28,16bac9324bf55c27c6dd8b88a7b02e95c23ccfc084ea0e7013dfe6fc77a9092e,2048,1206,PNG,unknown_exact_time,false,false,false,private_raw_not_git
baidu-cap-006,2026-09-17,baidu_index_screenshot,CN,BT-C001,泡泡玛特,brand_proxy,information_index,2026-08-15,2026-09-13,day_visible,CN_national,not_shown,39d22192-5255-45d9-bb66-43399b19047d.png,mapped_proxy,Company query risks label leakage and is not a product-concept series,Visible daily average is 43585,b93c7f31f5c35a89df77e62bbee8208244c9f5df9240a8ad0e2bdac80707e5cc,2048,1206,PNG,unknown_exact_time,false,false,false,private_raw_not_git
baidu-cap-007,2026-09-17,baidu_index_screenshot,CN,BT-C001,泡泡玛特,brand_proxy,search_index,2021-08-12,2026-09-13,week_visible,CN_national,PC+mobile,4180646c-6515-4b83-973c-b8759cc4376f.png,mapped_proxy,Company query risks label leakage and differs from registered primary query,Visible daily average is 4006,e2bdef1cf9e5633085cc3e211191601a685a02bfd3d5027263552cb724b4449b,2048,1206,PNG,unknown_exact_time,false,false,false,private_raw_not_git
baidu-cap-008,2026-09-17,baidu_index_screenshot,CN,BT-C002,钥匙扣,boundary_mismatch,search_index,2021-08-12,2026-09-13,week_visible,CN_national,PC+mobile,f516585a-45db-4d3a-9738-baefb70df352.png,boundary_rejected,Query includes non-plush metal keychains excluded by the frozen concept boundary,Visible tooltip reports 351 for week starting 2024-06-10,9ac0fd9da127e9d834d66117e7ac8302516ec2213c06da88c79c96fba340aad1,2048,1206,PNG,unknown_exact_time,false,false,false,private_raw_not_git
baidu-cap-009,2026-09-17,baidu_index_screenshot,CN,BT-C002,钥匙扣,boundary_mismatch,information_index,2026-08-15,2026-09-13,day_visible,CN_national,not_shown,cdbab4a7-d3f1-4c6f-bc30-ed2299505bb1.png,boundary_rejected,Query includes non-plush metal keychains excluded by the frozen concept boundary,Discovery evidence only,d40d340e4fe7df0ac831cfc873e5ccb9346dc40deb82cd5aeeca23c35a6a96b0,2048,1206,PNG,unknown_exact_time,false,false,false,private_raw_not_git
baidu-cap-010,2026-09-17,baidu_index_screenshot,CN,,捏捏,unregistered_discovery,information_index,2026-08-15,2026-09-13,day_visible,CN_national,not_shown,566f4e53-7e22-403d-be62-002d2767f4e6.png,unregistered,Query is not represented in the frozen 40-concept registry,Possible future squishy-toy candidate,6cbf545f0477fc45c631e1f6075bbfd33733ae726998a93e1475f3e074501591,2048,1206,PNG,unknown_exact_time,false,false,false,private_raw_not_git
