concept_id,registry_sha256,wave,slug,name_en,name_zh,category_group,sampling_role,market,primary_query,alternate_queries,target_timestamp_sources,target_history_weeks,target_visual_assets,search_interest_source,second_timestamp_source_status,visual_source_status,collection_status
BT-C001,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,1,blind_box_collectible_figure,Blind-box collectible figure,盲盒潮玩手办,collectibles_hobbies,mature_anchor,US,blind box collectible,blind box figure | designer toy blind box,2,104,5,google_trends_web,pending_approved_source,pending_rights_cleared_source,not_started
BT-C001,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,1,blind_box_collectible_figure,Blind-box collectible figure,盲盒潮玩手办,collectibles_hobbies,mature_anchor,CN,盲盒手办,潮玩盲盒 | 盲盒公仔,2,104,5,baidu_index_manual_export,pending_approved_source,pending_rights_cleared_source,not_started
BT-C002,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,1,plush_bag_charm,Plush bag charm,毛绒包挂,collectibles_hobbies,emerging_candidate,US,plush bag charm,plush purse charm | stuffed animal bag charm,2,104,5,google_trends_web,pending_approved_source,pending_rights_cleared_source,not_started
BT-C002,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,1,plush_bag_charm,Plush bag charm,毛绒包挂,collectibles_hobbies,emerging_candidate,CN,毛绒包挂,毛绒挂件 | 玩偶包挂,2,104,5,baidu_index_manual_export,pending_approved_source,pending_rights_cleared_source,not_started
BT-C006,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,1,magnetic_phone_grip_stand,Magnetic phone grip stand,磁吸手机支架握把,personal_tech,mature_anchor,US,magnetic phone grip stand,magsafe grip stand | magnetic phone ring grip,2,104,5,google_trends_web,pending_approved_source,pending_rights_cleared_source,not_started
BT-C006,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,1,magnetic_phone_grip_stand,Magnetic phone grip stand,磁吸手机支架握把,personal_tech,mature_anchor,CN,磁吸手机支架,磁吸手机握把 | 磁吸指环支架,2,104,5,baidu_index_manual_export,pending_approved_source,pending_rights_cleared_source,not_started
BT-C007,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,1,clip_on_open_ear_earbuds,Clip-on open-ear earbuds,耳夹式开放耳机,personal_tech,emerging_candidate,US,clip on open ear earbuds,ear clip headphones | open ear clip earbuds,2,104,5,google_trends_web,pending_approved_source,pending_rights_cleared_source,not_started
BT-C007,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,1,clip_on_open_ear_earbuds,Clip-on open-ear earbuds,耳夹式开放耳机,personal_tech,emerging_candidate,CN,耳夹式耳机,开放式耳夹耳机 | 耳夹蓝牙耳机,2,104,5,baidu_index_manual_export,pending_approved_source,pending_rights_cleared_source,not_started
BT-C011,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,1,sculptural_novelty_handbag,Sculptural novelty handbag,雕塑感异形手提包,fashion_accessories,emerging_candidate,US,sculptural handbag,novelty shaped purse | geometric statement bag,2,104,5,google_trends_web,pending_approved_source,pending_rights_cleared_source,not_started
BT-C011,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,1,sculptural_novelty_handbag,Sculptural novelty handbag,雕塑感异形手提包,fashion_accessories,emerging_candidate,CN,异形包,雕塑感手提包 | 几何造型包,2,104,5,baidu_index_manual_export,pending_approved_source,pending_rights_cleared_source,not_started
BT-C016,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,1,heated_eyelash_curler,Heated eyelash curler,电热睫毛夹,beauty_tools,emerging_candidate,US,heated eyelash curler,electric lash curler | rechargeable eyelash curler,2,104,5,google_trends_web,pending_approved_source,pending_rights_cleared_source,not_started
BT-C016,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,1,heated_eyelash_curler,Heated eyelash curler,电热睫毛夹,beauty_tools,emerging_candidate,CN,电热睫毛夹,加热睫毛器 | 充电睫毛夹,2,104,5,baidu_index_manual_export,pending_approved_source,pending_rights_cleared_source,not_started
