query_id,concept_id,category,query_market,gallery_market,exact_or_near_exact_targets,close_substitute_targets,style_match_targets,hard_negative_targets,status
Q001,blind_box_collectible,collectible_figure,CN,US,1,1,1,1,pending_rights_cleared_image
Q002,blind_box_collectible,collectible_figure,US,CN,1,1,1,1,pending_rights_cleared_image
Q003,blind_box_collectible,collectible_figure,CN,US,1,1,1,1,pending_rights_cleared_image
Q004,plush_bag_charm,plush_toy,US,CN,1,1,1,1,pending_rights_cleared_image
Q005,plush_bag_charm,plush_toy,CN,US,1,1,1,1,pending_rights_cleared_image
Q006,plush_bag_charm,plush_toy,US,CN,1,1,1,1,pending_rights_cleared_image
Q007,sculptural_handbag,handbag,CN,US,1,1,1,1,pending_rights_cleared_image
Q008,sculptural_handbag,handbag,US,CN,1,1,1,1,pending_rights_cleared_image
Q009,sculptural_handbag,handbag,CN,US,1,1,1,1,pending_rights_cleared_image
Q010,magnetic_phone_accessory,phone_accessory,US,CN,1,1,1,1,pending_rights_cleared_image
Q011,magnetic_phone_accessory,phone_accessory,CN,US,1,1,1,1,pending_rights_cleared_image
Q012,magnetic_phone_accessory,phone_accessory,US,CN,1,1,1,1,pending_rights_cleared_image
Q013,insulated_tumbler,drinkware,CN,US,1,1,1,1,pending_rights_cleared_image
Q014,insulated_tumbler,drinkware,US,CN,1,1,1,1,pending_rights_cleared_image
Q015,insulated_tumbler,drinkware,CN,US,1,1,1,1,pending_rights_cleared_image
Q016,compact_beauty_tool,beauty_tool,US,CN,1,1,1,1,pending_rights_cleared_image
Q017,compact_beauty_tool,beauty_tool,CN,US,1,1,1,1,pending_rights_cleared_image
Q018,compact_beauty_tool,beauty_tool,US,CN,1,1,1,1,pending_rights_cleared_image
Q019,ambient_table_lamp,lamp,CN,US,1,1,1,1,pending_rights_cleared_image
Q020,ambient_table_lamp,lamp,US,CN,1,1,1,1,pending_rights_cleared_image
Q021,ambient_table_lamp,lamp,CN,US,1,1,1,1,pending_rights_cleared_image
Q022,open_ear_headphones,headphones,US,CN,1,1,1,1,pending_rights_cleared_image
Q023,open_ear_headphones,headphones,CN,US,1,1,1,1,pending_rights_cleared_image
Q024,open_ear_headphones,headphones,US,CN,1,1,1,1,pending_rights_cleared_image
Q025,retro_sneakers,sneakers,CN,US,1,1,1,1,pending_rights_cleared_image
Q026,retro_sneakers,sneakers,US,CN,1,1,1,1,pending_rights_cleared_image
Q027,retro_sneakers,sneakers,CN,US,1,1,1,1,pending_rights_cleared_image
Q028,modular_storage,storage_box,US,CN,1,1,1,1,pending_rights_cleared_image
Q029,modular_storage,storage_box,CN,US,1,1,1,1,pending_rights_cleared_image
Q030,modular_storage,storage_box,US,CN,1,1,1,1,pending_rights_cleared_image
